State,Year,Quater,Total_Amount
kerala,2018,1,28832097168.0
kerala,2018,2,46643081244.0
kerala,2018,3,63876301674.0
kerala,2018,4,92968331772.0
kerala,2019,1,122820377736.0
kerala,2019,2,156376462410.0
kerala,2019,3,197157712764.0
kerala,2019,4,253815923964.0
kerala,2020,1,317413013160.0
kerala,2020,2,310728930144.0
kerala,2020,3,481969804176.0
kerala,2020,4,681063066096.0
kerala,2021,1,831131645472.0
kerala,2021,2,890721684960.0
kerala,2021,3,1220233902720.0
kerala,2021,4,1480105653600.0
kerala,2022,1,1679867268480.0
kerala,2022,2,1856355972000.0
kerala,2022,3,1947125031936.0
kerala,2022,4,2082717699360.0
kerala,2023,1,2323645008960.0
kerala,2023,2,2493560147040.0
kerala,2023,3,2643991403232.0
kerala,2023,4,2699823770496.0
kerala,2024,1,2724935587968.0
kerala,2024,2,2904045810432.0
kerala,2024,3,3099624395904.0
kerala,2024,4,3283679721408.0
ladakh,2018,1,150394293.0
ladakh,2018,2,568018840.125
ladakh,2018,3,1009091696.8125
ladakh,2018,4,1626274070.0625
ladakh,2019,1,1834319023.125
ladakh,2019,2,3111066106.21875
ladakh,2019,3,3973554137.0625
ladakh,2019,4,3896272170.0
ladakh,2020,1,4531676160.75
ladakh,2020,2,6285516121.5
ladakh,2020,3,10025849801.25
ladakh,2020,4,13343561437.5
ladakh,2021,1,11801037999.0
ladakh,2021,2,17127108421.5
ladakh,2021,3,26567817162.0
ladakh,2021,4,25842421599.0
ladakh,2022,1,24300490918.5
ladakh,2022,2,42519817596.0
ladakh,2022,3,43262390899.5
ladakh,2022,4,34733731234.5
ladakh,2023,1,46188254388.0
ladakh,2023,2,86293247328.0
ladakh,2023,3,99006869172.0
ladakh,2023,4,83315846076.0
ladakh,2024,1,73024690764.0
ladakh,2024,2,121508680332.0
ladakh,2024,3,151834458708.0
ladakh,2024,4,130253010432.0
lakshadweep,2018,1,23143333.845703125
lakshadweep,2018,2,74253713.66015625
lakshadweep,2018,3,52068387.6328125
lakshadweep,2018,4,53558565.32409668
lakshadweep,2019,1,105433567.359375
lakshadweep,2019,2,110910288.15234375
lakshadweep,2019,3,115821139.39453125
lakshadweep,2019,4,135238957.6259308
lakshadweep,2020,1,162028419.5625
lakshadweep,2020,2,203315062.3125
lakshadweep,2020,3,255682003.828125
lakshadweep,2020,4,361335824.015625
lakshadweep,2021,1,324513406.41796875
lakshadweep,2021,2,328601570.09765625
lakshadweep,2021,3,465637969.78125
lakshadweep,2021,4,611978214.3984375
lakshadweep,2022,1,659273184.65625
lakshadweep,2022,2,671155223.0625
lakshadweep,2022,3,570960115.03125
lakshadweep,2022,4,657766506.9609375
lakshadweep,2023,1,1023863496.0
lakshadweep,2023,2,1175849256.0
lakshadweep,2023,3,1134324696.0
lakshadweep,2023,4,1437976608.0
lakshadweep,2024,1,1560628584.0
lakshadweep,2024,2,1754554092.0
lakshadweep,2024,3,2308896960.0
lakshadweep,2024,4,2973080124.0
madhya-pradesh,2018,1,104179241280.0
madhya-pradesh,2018,2,191088979152.0
madhya-pradesh,2018,3,289796916048.0
madhya-pradesh,2018,4,406867296144.0
madhya-pradesh,2019,1,576843359064.0
madhya-pradesh,2019,2,820014784488.0
madhya-pradesh,2019,3,932115841824.0
madhya-pradesh,2019,4,1256255143824.0
madhya-pradesh,2020,1,1520847350232.0
madhya-pradesh,2020,2,1775064215280.0
madhya-pradesh,2020,3,2468420213088.0
madhya-pradesh,2020,4,3411301750080.0
madhya-pradesh,2021,1,4122407469888.0
madhya-pradesh,2021,2,5106009069888.0
madhya-pradesh,2021,3,6052951343424.0
madhya-pradesh,2021,4,7882649880384.0
madhya-pradesh,2022,1,8971981854528.0
madhya-pradesh,2022,2,10404297091776.0
madhya-pradesh,2022,3,12394901987136.0
madhya-pradesh,2022,4,15635997910656.0
madhya-pradesh,2023,1,12744318842304.0
madhya-pradesh,2023,2,14429291311104.0
madhya-pradesh,2023,3,14853863943936.0
madhya-pradesh,2023,4,17118034500864.0
madhya-pradesh,2024,1,19505042227968.0
madhya-pradesh,2024,2,21356158692480.0
madhya-pradesh,2024,3,21132989608704.0
madhya-pradesh,2024,4,24039660369792.0
maharashtra,2018,1,260539362960.0
maharashtra,2018,2,436284679584.0
maharashtra,2018,3,627129813600.0
maharashtra,2018,4,954227236704.0
maharashtra,2019,1,1337048265264.0
maharashtra,2019,2,1839533683056.0
maharashtra,2019,3,2395410021504.0
maharashtra,2019,4,3275933094336.0
maharashtra,2020,1,3839942471904.0
maharashtra,2020,2,3556314252672.0
maharashtra,2020,3,5283684893952.0
maharashtra,2020,4,7465866422784.0
maharashtra,2021,1,9238648190592.0
maharashtra,2021,2,10981380811776.0
maharashtra,2021,3,13911087444480.0
maharashtra,2021,4,17704302152448.0
maharashtra,2022,1,20176791809280.0
maharashtra,2022,2,24075268329984.0
maharashtra,2022,3,23370950850048.0
maharashtra,2022,4,26525650292736.0
maharashtra,2023,1,28347430920192.0
maharashtra,2023,2,31272055021056.0
maharashtra,2023,3,33026066574336.0
maharashtra,2023,4,37176179665920.0
maharashtra,2024,1,40474787024640.0
maharashtra,2024,2,42878273237760.0
maharashtra,2024,3,44247223001088.0
maharashtra,2024,4,49812343136256.0
manipur,2018,1,1536554116.875
manipur,2018,2,3038516688.0
manipur,2018,3,4599974761.5
manipur,2018,4,7268202777.0
manipur,2019,1,7918776731.0625
manipur,2019,2,8673479382.1875
manipur,2019,3,10362624006.375
manipur,2019,4,14410772406.1875
manipur,2020,1,31183083452.625
manipur,2020,2,38387233320.0
manipur,2020,3,55391714256.0
manipur,2020,4,67226696082.0
manipur,2021,1,84843451584.0
manipur,2021,2,94677937590.0
manipur,2021,3,124882337772.0
manipur,2021,4,151901661978.0
manipur,2022,1,169734006426.0
manipur,2022,2,179074924434.0
manipur,2022,3,184577164182.0
manipur,2022,4,187511484402.0
manipur,2023,1,103026770676.0
manipur,2023,2,53566519872.0
manipur,2023,3,43299438552.0
manipur,2023,4,81603901440.0
manipur,2024,1,110915681112.0
manipur,2024,2,130776005316.0
manipur,2024,3,140058207012.0
manipur,2024,4,144740501244.0
meghalaya,2018,1,795003109.5
meghalaya,2018,2,1404056004.75
meghalaya,2018,3,2518243857.75
meghalaya,2018,4,4051028117.25
meghalaya,2019,1,4788445896.796875
meghalaya,2019,2,5915175294.0
meghalaya,2019,3,7346623370.25
meghalaya,2019,4,8909237578.59375
meghalaya,2020,1,13441618114.5
meghalaya,2020,2,13844822025.0
meghalaya,2020,3,14844707895.0
meghalaya,2020,4,21650910369.0
meghalaya,2021,1,24666183384.0
meghalaya,2021,2,26323407411.0
meghalaya,2021,3,33228006654.0
meghalaya,2021,4,46185186108.0
meghalaya,2022,1,55948060821.0
meghalaya,2022,2,63377896719.0
meghalaya,2022,3,115239611646.0
meghalaya,2022,4,107958496722.0
meghalaya,2023,1,121018089732.0
meghalaya,2023,2,133014081552.0
meghalaya,2023,3,136879591392.0
meghalaya,2023,4,166476705648.0
meghalaya,2024,1,187551656820.0
meghalaya,2024,2,201535371648.0
meghalaya,2024,3,195515475936.0
meghalaya,2024,4,236099132712.0
mizoram,2018,1,542726623.5
mizoram,2018,2,1002100912.03125
mizoram,2018,3,1399208856.609375
mizoram,2018,4,2285122299.703125
mizoram,2019,1,2617930797.234375
mizoram,2019,2,2976200452.5703125
mizoram,2019,3,3345526848.0
mizoram,2019,4,4424272160.5078125
mizoram,2020,1,4704930815.25
mizoram,2020,2,5486321278.875
mizoram,2020,3,8495329858.5
mizoram,2020,4,11838265294.5
mizoram,2021,1,13213267351.5
mizoram,2021,2,13474493649.0
mizoram,2021,3,17684983122.0
mizoram,2021,4,21247988239.5
mizoram,2022,1,23341908358.5
mizoram,2022,2,24038238452.25
mizoram,2022,3,23355187572.0
mizoram,2022,4,24454933065.0
mizoram,2023,1,35467473804.0
mizoram,2023,2,38301680004.0
mizoram,2023,3,37273562436.0
mizoram,2023,4,42490081848.0
mizoram,2024,1,43561159344.0
mizoram,2024,2,45581732244.0
mizoram,2024,3,47086659924.0
mizoram,2024,4,53533954764.0
nagaland,2018,1,936070668.0
nagaland,2018,2,1839906894.1875
nagaland,2018,3,2901512879.90625
nagaland,2018,4,4656161446.875
nagaland,2019,1,5303300475.28125
nagaland,2019,2,6240800070.0
nagaland,2019,3,7811477665.125
nagaland,2019,4,10014445414.875
nagaland,2020,1,10737360124.875
nagaland,2020,2,13652093883.75
nagaland,2020,3,24115789995.0
nagaland,2020,4,33277019838.75
nagaland,2021,1,37289405874.0
nagaland,2021,2,37875527596.5
nagaland,2021,3,47849003557.5
nagaland,2021,4,59269008480.0
nagaland,2022,1,66539418489.0
nagaland,2022,2,68883422967.0
nagaland,2022,3,64372804509.0
nagaland,2022,4,83639598292.5
nagaland,2023,1,93772774248.0
nagaland,2023,2,96256791708.0
nagaland,2023,3,103395597768.0
nagaland,2023,4,116094904284.0
nagaland,2024,1,120538983744.0
nagaland,2024,2,132154954740.0
nagaland,2024,3,147375788316.0
nagaland,2024,4,167509187820.0
odisha,2018,1,55531587216.0
odisha,2018,2,101859727200.0
odisha,2018,3,277134179904.0
odisha,2018,4,281158428672.0
odisha,2019,1,425125523280.0
odisha,2019,2,537058238640.0
odisha,2019,3,687654926376.0
odisha,2019,4,957232519488.0
odisha,2020,1,1103481539568.0
odisha,2020,2,1100796394512.0
odisha,2020,3,1469567371248.0
odisha,2020,4,2139631931904.0
odisha,2021,1,2560772879808.0
odisha,2021,2,2950369498368.0
odisha,2021,3,3645368614560.0
odisha,2021,4,4623012591360.0
odisha,2022,1,5414727830400.0
odisha,2022,2,6120420235968.0
odisha,2022,3,6774546592416.0
